date,county,region,fips,first_dose_administered,second_dose_administered,single_dose_administered,all_doses_administered,fully_vaccinated,booster_dose_administered,new_first_dose_administered,new_second_dose_administered,new_single_dose_administered,new_all_doses_administered,new_fully_vaccinated,new_booster_dose_administered,current_as_of
2020-12-14,Allen,3,18003,3,0,0,3,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-14,Clark,9,18019,12,0,0,12,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-14,Clinton,4,18023,1,0,0,1,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-14,De Kalb,3,18033,1,0,0,1,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-14,Elkhart,2,18039,1,0,0,1,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-14,Floyd,9,18043,7,0,0,7,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-14,Grant,6,18053,1,0,0,1,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-14,Hamilton,5,18057,1,0,0,1,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-14,Harrison,9,18061,1,0,0,1,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-14,Jefferson,9,18077,1,0,0,1,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-14,Johnson,5,18081,1,0,0,1,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-14,Lake,1,18089,1,0,0,1,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-14,Marion,5,18097,3,0,0,3,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-14,Noble,3,18113,1,0,0,1,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-14,Orange,8,18117,1,0,0,1,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-14,Out of State,Out of State,Out of State,9,0,0,9,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-14,Pike,10,18125,1,0,0,1,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-14,Scott,9,18143,5,0,0,5,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-14,Whitley,3,18183,1,0,0,1,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
